Epoch 4/9, Iters: 005300, loss: 0.0314, train_accuracy: 0.9531, time: 0.15 s/iter, learning rate: 0.001
Epoch 4/9, Iters: 005400, loss: 0.0121, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 005500, loss: 0.0096, train_accuracy: 0.9688, time: 0.07 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 005600, loss: 0.0200, train_accuracy: 0.9609, time: 0.17 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 005700, loss: 0.0091, train_accuracy: 0.9766, time: 0.16 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 005800, loss: 0.0155, train_accuracy: 0.9531, time: 0.14 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 005900, loss: 0.0100, train_accuracy: 0.9766, time: 0.14 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 006000, loss: 0.0061, train_accuracy: 0.9688, time: 0.14 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 006100, loss: 0.0101, train_accuracy: 0.9766, time: 0.14 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 006200, loss: 0.0376, train_accuracy: 0.9688, time: 0.14 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 006300, loss: 0.0037, train_accuracy: 0.9922, time: 0.14 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 006400, loss: 0.0141, train_accuracy: 0.9609, time: 0.31 s/iter, learning rate: 0.001
Epoch 5/9, Iters: 006500, loss: 0.0081, train_accuracy: 0.9844, time: 0.14 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 006600, loss: 0.0591, train_accuracy: 0.9531, time: 0.07 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 006700, loss: 0.0176, train_accuracy: 0.9844, time: 0.14 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 006800, loss: 0.0122, train_accuracy: 0.9688, time: 0.14 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 006900, loss: 0.0278, train_accuracy: 0.9531, time: 0.14 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 007000, loss: 0.0031, train_accuracy: 0.9922, time: 0.17 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 007100, loss: 0.0111, train_accuracy: 0.9844, time: 0.17 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 007200, loss: 0.0165, train_accuracy: 0.9531, time: 0.15 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 007300, loss: 0.0055, train_accuracy: 0.9766, time: 0.30 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 007400, loss: 0.0142, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 007500, loss: 0.0066, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 6/9, Iters: 007600, loss: 0.0119, train_accuracy: 0.9766, time: 0.15 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 007700, loss: 0.0069, train_accuracy: 0.9844, time: 0.07 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 007800, loss: 0.0030, train_accuracy: 0.9922, time: 0.15 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 007900, loss: 0.0012, train_accuracy: 1.0000, time: 0.15 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 008000, loss: 0.0026, train_accuracy: 0.9922, time: 0.15 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 008100, loss: 0.0085, train_accuracy: 0.9766, time: 0.15 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 008200, loss: 0.0097, train_accuracy: 0.9844, time: 0.31 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 008300, loss: 0.0283, train_accuracy: 0.9609, time: 0.16 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 008400, loss: 0.0022, train_accuracy: 0.9922, time: 0.15 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 008500, loss: 0.0095, train_accuracy: 0.9766, time: 0.15 s/iter, learning rate: 0.001
Epoch 7/9, Iters: 008600, loss: 0.0049, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
